,name,product_url,rating,reviews,price,product_type
39,"Audio-Technica ATH-M30x Professional Studio Monitor Headphones, Black",https://www.amazon.com/Audio-Technica-ATH-M30x-Professional-Monitor-Headphones/dp/B00HVLUQW8/ref=sr_1_48?dchild=1&keywords=Headphones&qid=1592473866&s=electronics&sr=1-48,4.4 out of 5 stars,"3,178",$59.00,Headphones
40,XClear Wireless Earbuds with Immersive Sounds True 5.0 Bluetooth in-Ear Headphones with Charging Case/Quick-Pairing Stereo Calls/Built-in Microphones/IPX5 Sweatproof/Pumping Bass for Sports Black,https://www.amazon.com/XClear-Headphones-Quick-Pairing-Microphones-Sweatproof/dp/B07ZWJR9GD/ref=sr_1_49?dchild=1&keywords=Headphones&qid=1592473866&s=electronics&sr=1-49,4.5 out of 5 stars,"5,902",$32.99,Headphones
41,"Mpow H19 IPO Active Noise Cancelling Headphones, Bluetooth 5.0 Wireless Headphones with CVC8.0 Microphone, Hi-Fi Stereo Deep Bass, Rapid Charge 35H Playtime for TV, Online Class, Home Office",https://www.amazon.com/Mpow-Cancelling-Headphones-Bluetooth-Memory-Protein/dp/B07Z176W4W/ref=sr_1_50?dchild=1&keywords=Headphones&qid=1592473866&s=electronics&sr=1-50,4.8 out of 5 stars,"1,818",$46.99,Headphones
42,"AfterShokz Aeropex Open-Ear Wireless Bone Conduction Headphones, IP67 Rated, Solar Red",https://www.amazon.com/AfterShokz-Aeropex-Auriculares-inal%C3%A1mbricos-deportiva/dp/B07RNLNTKP/ref=sr_1_51?dchild=1&keywords=Headphones&qid=1592473866&s=electronics&sr=1-51,4.5 out of 5 stars,"3,565",$127.96,Headphones
43,"TaoTronics Hybrid Active Noise Cancelling Headphones Bluetooth Headphones Over Ear with 35H Playtime, Wireless Headphones Soft Protein Earpads Built-in Mic for Travel, Home Office Black",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_electronics_sr_pg2_2?ie=UTF8&adId=A0970843A4L5K71QU223&url=%2FTaoTronics-Cancelling-Headphones-Bluetooth-Playtime%2Fdp%2FB084MKNGSQ%2Fref%3Dsr_1_54_sspa%3Fdchild%3D1%26keywords%3DHeadphones%26qid%3D1592473866%26s%3Delectronics%26sr%3D1-54-spons%26psc%3D1&qualifier=1592489128&id=2773765675494738&widgetName=sp_btf,4.8 out of 5 stars,572,$69.99,Headphones
44,Skullcandy Ink'd Plus In-Ear Earbud - Deep Red,https://www.amazon.com/Skullcandy-Inkd-Plus-Ear-Earbud/dp/B07QXGYP51/ref=sr_1_51?dchild=1&keywords=Headphones&qid=1592473866&s=electronics&sr=1-51,4.3 out of 5 stars,"1,913",$14.99,Headphones
45,"Mpow CH8 Kids Headphones with Microphone (2-Pack), Wired On-Ear Headsets with Safe Volume Limited 91dB, Foldable Durable Earphones w/Audio Splitter for Boys/Girls/Toddlers/Children/School/Travel/Plane",https://www.amazon.com/Mpow-Headphones-Foldable-Comfortable-Earphones/dp/B07RSJX4KW/ref=sr_1_52?dchild=1&keywords=Headphones&qid=1592473866&s=electronics&sr=1-52,4.7 out of 5 stars,620,$26.99,Headphones
46,"LUDOS Clamor Wired Earbuds in Ear Headphones with Microphone, Earphones with Mic and Volume Control, Memory Foam, Reinforced Cable, Bass Compatible with iPhone, Apple, iPad, Computer, Laptop, PC",https://www.amazon.com/Headphones-Microphone-Earphones-Reinforced-Compatible/dp/B0823KH687/ref=sr_1_53?dchild=1&keywords=Headphones&qid=1592473866&s=electronics&sr=1-53,4.4 out of 5 stars,"7,649",$19.97,Headphones
47,"Bluetooth Headphones Wireless,MKay Over Ear Headset V5.0 with Microphone, Foldable & Lightweight, Support Tf Card MP3 Mode and Fm Radio for Cellphones Laptop TV-Rose Gold",https://www.amazon.com/Headphones-MKay-Microphone-Lightweight-Cellphones/dp/B07M9FBX3Y/ref=sr_1_54?dchild=1&keywords=Headphones&qid=1592473866&s=electronics&smid=A7IDNXNVZ3IC7&sr=1-54,4.4 out of 5 stars,"2,540",$22.06,Headphones
48,"LETSCOM Bluetooth Headphones, 100 Hours Playtime Bluetooth 5.0 Headphones Over Ear with Deep Bass, Hi-Fi Sound and Soft Earpads, Built-in Mic, Wired/Wireless Headset for Home Office-Gray",https://www.amazon.com/LETSCOM-Bluetooth-Headphones-Playtime-Office-Gray/dp/B086GJZZG3/ref=sr_1_55?dchild=1&keywords=Headphones&qid=1592473866&s=electronics&sr=1-55,4.4 out of 5 stars,"5,650",$26.00,Headphones
